,time,z_stage_setpoint,z_stage_readback,MyGaussMeter_Bx,MyGaussMeter_By,MyGaussMeter_Bz,MyGaussMeter_Btot
0,1723722362.2465467,-1.0,-1.0,20.1392021,-56.744369,1.34611271,2.9275294
1,1723722372.2871273,-278.94736842105266,-278.94736842105266,20.17826,-62.09344,2.0757348,65.4369725
2,1723722382.7386854,-557.8947368421053,-557.8947368421053,20.0404125,-63.131057,0.46652326,65.4369725
3,1723722392.9692936,-836.8421052631579,-836.8421052631579,20.1728714,-63.131057,0.43443738,67.1985903
4,1723722403.8175695,-1115.7894736842106,-1115.7894736842106,20.7780529,-64.087632,0.86126007,67.7204999
5,1723722413.8524632,-1394.7368421052633,-1394.7368421052633,21.4412403,-64.087632,1.92770747,68.1976433
6,1723722424.0922897,-1673.6842105263158,-1673.6842105263158,20.6306679,-65.866456,-0.3874447,69.0231409
7,1723722434.5374782,-1952.6315789473686,-1952.6315789473686,21.5196138,-65.866456,0.40434561,69.6608896
8,1723722447.874575,-2231.5789473684213,-2231.5789473684213,23.4324495,-66.406262,2.61751787,70.4654409
9,1723722459.585594,-2510.5263157894738,-2510.5263157894738,21.0281649,-67.298346,2.61751787,70.509644
10,1723722469.6104207,-2789.4736842105267,-2789.4736842105267,22.9501583,-68.449247,2.61751787,72.1883833
11,1723722479.635272,-3068.421052631579,-3068.421052631579,22.6100424,-68.436192,-0.5853364,72.3030461
12,1723722496.257552,-3347.3684210526317,-3347.3684210526317,21.6832393,-68.432923,-0.5853364,71.7960642
13,1723722506.2867093,-3626.3157894736846,-3626.3157894736846,21.5583109,-70.059077,-2.4202042,71.7960642
14,1723722516.3254,-3905.263157894737,-3905.263157894737,22.9642267,-69.207111,-0.3757842,71.7960642
15,1723722528.0016708,-4184.21052631579,-4184.21052631579,22.2401317,-69.610167,-1.5111546,72.9178093
16,1723722545.0595286,-4463.1578947368425,-4463.1578947368425,22.2292249,-70.49071,-2.0374114,73.9373425
17,1723722555.2901542,-4742.105263157895,-4742.105263157895,23.1476643,-70.698647,-1.5073342,73.9373425
18,1723722565.5213192,-5021.0526315789475,-5021.0526315789475,23.1348177,-70.565797,-1.6629942,73.9373425
19,1723722575.561529,-5300.0,-5300.0,23.1348177,-71.672109,-2.2052225,75.3757868
